repo_name,baseline_targets,jesspro_targets,intersection,jaccard
201206030_novel,100,100,100,1.000000
abel533_mapper,100,100,100,1.000000
activiti_activiti,100,100,3,0.015228
alibaba_arthas,100,100,6,0.030928
alibaba_canal,95,99,7,0.037433
alibaba_cola,100,100,100,1.000000
alibaba_datax,100,100,100,1.000000
alibaba_druid,100,100,1,0.005025
alibaba_easyexcel,100,100,100,1.000000
alibaba_fastjson,100,100,100,1.000000
alibaba_jetcache,100,100,100,1.000000
alibaba_jstorm,93,93,93,1.000000
alibaba_jvm-sandbox,100,100,100,1.000000
alibaba_nacos,100,100,3,0.015228
alibaba_otter,100,100,100,1.000000
alibaba_qlexpress,100,100,23,0.129944
alibaba_sentinel,100,100,100,1.000000
alibaba_spring-cloud-alibaba,100,100,22,0.123596
alibaba_transmittable-thread-local,100,100,100,1.000000
alluxio_alluxio,100,100,100,1.000000
almasb_fxgl,100,100,100,1.000000
angel-ml_angel,100,100,100,1.000000
ant-media_ant-media-server,100,100,100,1.000000
antlr_antlr4,100,100,100,1.000000
apache_camel,100,100,0,0.000000
apache_dolphinscheduler,100,100,5,0.025641
apache_druid,100,99,3,0.015306
apache_dubbo-spring-boot-project,65,65,65,1.000000
apache_flink,100,100,0,0.000000
apache_hadoop,100,100,1,0.005025
apache_hbase,99,96,3,0.015625
apache_hudi,100,100,1,0.005025
apache_ignite,100,100,1,0.005025
apache_incubator-dolphinscheduler,100,100,5,0.025641
apache_incubator-seatunnel,100,100,1,0.005025
apache_incubator-shenyu,100,100,4,0.020408
apache_maven,100,100,4,0.020408
apache_pinot,100,100,2,0.010101
apache_pulsar,100,98,0,0.000000
apache_rocketmq,100,100,2,0.010101
apache_seatunnel,100,100,1,0.005025
apache_shardingsphere-elasticjob,100,100,100,1.000000
apache_shenyu,100,100,4,0.020408
apache_shiro,100,100,100,1.000000
apache_skywalking,100,100,4,0.020408
apache_storm,96,96,96,1.000000
apache_zeppelin,98,98,98,1.000000
apache_zookeeper,100,98,0,0.000000
apolloconfig_apollo,100,100,5,0.025641
asynchttpclient_async-http-client,100,100,100,1.000000
baidu_uid-generator,32,32,32,1.000000
baomidou_dynamic-datasource,100,100,100,1.000000
baomidou_dynamic-datasource-spring-boot-starter,100,100,100,1.000000
brettwooldridge_hikaricp,99,99,99,1.000000
brianfrankcooper_ycsb,100,100,100,1.000000
brianway_java-learning,100,100,100,1.000000
bytedeco_javacpp,100,100,100,1.000000
bytedeco_javacv,100,100,100,1.000000
cglib_cglib,100,100,100,1.000000
changmingxie_tcc-transaction,96,96,96,1.000000
checkstyle_checkstyle,100,100,3,0.015228
chewiebug_gcviewer,100,100,100,1.000000
chillzhuang_springblade,100,100,100,1.000000
chrisbanes_android-pulltorefresh,98,98,98,1.000000
citerus_dddsample-core,100,100,100,1.000000
clojure_clojure,97,97,97,1.000000
code4craft_webmagic,99,99,99,1.000000
codecentric_spring-boot-admin,100,99,29,0.170588
codingapi_tx-lcn,100,100,100,1.000000
col-e_recaf,100,100,9,0.047120
confluentinc_ksql,100,100,2,0.010101
coobird_thumbnailator,96,96,96,1.000000
crossoverjie_cim,100,100,100,1.000000
crossoverjie_jcsprout,99,99,99,1.000000
cryptomator_cryptomator,100,100,21,0.117318
ctripcorp_apollo,100,100,5,0.025641
dangdangdotcom_dubbox,98,98,98,1.000000
databricks_learning-spark,67,67,67,1.000000
dataease_dataease,100,100,8,0.041667
dbeaver_dbeaver,100,100,1,0.005025
ddd-by-examples_library,90,90,90,1.000000
deathmarine_luyten,100,100,100,1.000000
debezium_debezium,100,100,2,0.010101
derekyrc_mini-spring,83,83,82,0.976190
dianping_cat,100,100,100,1.000000
didi_knowstreaming,100,100,100,1.000000
didi_logikm,100,100,100,1.000000
dius_java-faker,88,88,88,1.000000
dromara_hmily,100,100,100,1.000000
dromara_hutool,100,100,4,0.020408
dromara_lamp-cloud,100,100,100,1.000000
dromara_sa-token,100,100,100,1.000000
dromara_shenyu,100,100,100,1.000000
dromara_soul,100,100,4,0.020408
dropwizard_dropwizard,100,100,100,1.000000
dropwizard_metrics,99,99,99,1.000000
dtstack_chunjun,100,100,100,1.000000
dyc87112_springboot-learning,100,100,100,1.000000
eclipse-vertx_vert.x,98,100,0,0.000000
eirslett_frontend-maven-plugin,99,99,99,1.000000
elunez_eladmin,100,100,100,1.000000
enterprisequalitycoding_fizzbuzzenterpriseedition,36,36,36,1.000000
failsafe-lib_failsafe,100,100,100,1.000000
ffay_lanproxy,83,83,83,1.000000
flowable_flowable-engine,100,100,0,0.000000
flyway_flyway,100,99,2,0.010152
frohoff_ysoserial,80,80,80,1.000000
fuzhengwei_itstack-demo-design,97,97,97,1.000000
gephi_gephi,100,100,2,0.010101
google_error-prone,100,100,24,0.136364
google_google-java-format,100,96,49,0.333333
google_gson,99,98,18,0.100559
google_guice,100,100,100,1.000000
graphhopper_graphhopper,100,99,5,0.025773
graylog2_graylog2-server,100,100,1,0.005025
gz-yami_mall4j,100,100,100,1.000000
h2pl_java-tutorial,0,0,0,1.000000
h2pl_javatutorial,0,0,0,1.000000
hazelcast_hazelcast,100,100,0,0.000000
hs-web_hsweb-framework,100,100,8,0.041667
intuit_karate,100,100,100,1.000000
j-easy_easy-rules,80,80,80,1.000000
jacoco_jacoco,100,100,100,1.000000
jagrosh_musicbot,95,95,95,1.000000
jakewharton_actionbarsherlock,99,99,99,1.000000
jakewharton_disklrucache,32,32,32,1.000000
jakewharton_nineoldandroids,98,98,98,1.000000
jakewharton_viewpagerindicator,92,92,92,1.000000
janusgraph_janusgraph,100,100,100,1.000000
javaparser_javaparser,100,100,1,0.005025
javen205_ijpay,100,100,100,1.000000
jboss-javassist_javassist,98,98,98,1.000000
jeequan_jeepay,100,100,100,1.000000
jeffli1993_springboot-learning-example,82,82,82,1.000000
jenkinsci_jenkins,100,100,9,0.047120
jeremylong_dependencycheck,100,100,100,1.000000
jetlinks_jetlinks-community,100,99,3,0.015306
jfeinstein10_slidingmenu,97,97,97,1.000000
jhy_jsoup,89,89,31,0.210884
jitsi_jitsi,100,100,100,1.000000
jodaorg_joda-time,98,98,98,1.000000
joelittlejohn_jsonschema2pojo,100,100,100,1.000000
jsqlparser_jsqlparser,100,100,5,0.025641
junit-team_junit4,100,100,100,1.000000
justauth_justauth,100,100,100,1.000000
jwtk_jjwt,100,100,100,1.000000
karatelabs_karate,100,100,100,1.000000
kekingcn_kkfileview,100,100,100,1.000000
kevin-wayne_algs4,100,100,100,1.000000
keycloak_keycloak,100,100,1,0.005025
kiegroup_drools,97,97,97,1.000000
killbill_killbill,100,100,100,1.000000
killme2008_aviatorscript,100,100,100,1.000000
knightliao_disconf,100,100,100,1.000000
knowm_xchange,100,100,0,0.000000
konloch_bytecode-viewer,100,100,99,0.980198
languagetool-org_languagetool,99,100,3,0.015306
lets-blade_blade,100,100,100,1.000000
lettuce-io_lettuce-core,100,99,6,0.031088
liaohuqiu_android-ultra-pull-to-refresh,100,100,100,1.000000
lihengming_spring-boot-api-project-seed,10,10,10,1.000000
linlinjava_litemall,100,100,100,1.000000
liquibase_liquibase,100,100,5,0.025641
liyifeng1994_ssm,7,7,7,1.000000
looly_hutool,100,100,4,0.020408
lwjgl_lwjgl3,100,100,1,0.005025
macrozheng_mall-learning,100,100,100,1.000000
macrozheng_mall-swarm,100,100,100,1.000000
macrozheng_springcloud-learning,100,100,100,1.000000
mapstruct_mapstruct,100,100,100,1.000000
mcxiaoke_android-volley,99,99,99,1.000000
medcl_elasticsearch-analysis-ik,90,90,90,1.000000
meituan-dianping_leaf,40,40,40,1.000000
metersphere_metersphere,100,100,3,0.015228
mock-server_mockserver,100,100,100,1.000000
mrniko_netty-socketio,100,100,100,1.000000
mybatis_mybatis-3,100,100,11,0.058201
mybatis_spring-boot-starter,19,19,19,1.000000
mycatapache_mycat-server,100,100,100,1.000000
nanohttpd_nanohttpd,98,98,98,1.000000
neo4j_neo4j,100,100,100,1.000000
nepxion_discovery,100,100,100,1.000000
netty_netty,100,100,3,0.015228
newbee-ltd_newbee-mall,100,100,100,1.000000
nhaarman_listviewanimations,100,100,100,1.000000
nlpchina_ansj_seg,100,100,100,1.000000
nlpchina_elasticsearch-sql,100,100,100,1.000000
obsidiandynamics_kafdrop,94,94,94,1.000000
oldmanpushcart_greys-anatomy,100,100,100,1.000000
openapitools_openapi-generator,100,100,0,0.000000
openfeign_feign,100,100,100,1.000000
opengoofy_hippo4j,100,100,100,1.000000
openrefine_openrefine,100,100,1,0.005025
openzipkin_zipkin,99,99,99,1.000000
oracle_opengrok,100,100,100,1.000000
orientechnologies_orientdb,100,100,0,0.000000
oshi_oshi,100,100,6,0.030928
paascloud_paascloud-master,100,100,100,1.000000
pagehelper_mybatis-pagehelper,100,100,100,1.000000
pardom-zz_activeandroid,99,99,99,1.000000
pentaho_pentaho-kettle,100,100,1,0.005025
perwendel_spark,100,100,100,1.000000
pig-mesh_pig,100,100,100,1.000000
pinpoint-apm_pinpoint,100,100,2,0.010101
pmd_pmd,100,100,1,0.005025
powerjob_powerjob,100,100,100,1.000000
prestodb_presto,100,100,0,0.000000
provectus_kafka-ui,100,100,100,1.000000
proxyee-down-org_proxyee-down,99,99,99,1.000000
quarkusio_quarkus,100,100,2,0.010101
querydsl_querydsl,100,100,100,1.000000
questdb_questdb,100,100,2,0.010101
raphw_byte-buddy,100,100,100,1.000000
razerdp_basepopup,100,100,100,1.000000
redis_jedis,100,99,7,0.036458
redisson_redisson,100,100,1,0.005025
remkop_picocli,98,98,98,1.000000
rest-assured_rest-assured,100,100,17,0.092896
roboguice_roboguice,99,99,99,1.000000
roncoo_roncoo-pay,100,100,100,1.000000
ronmamo_reflections,93,93,93,1.000000
rubenlagus_telegrambots,100,100,21,0.117318
runelite_runelite,100,100,1,0.005025
scribejava_scribejava,100,100,100,1.000000
seaswalker_spring-analysis,9,9,9,1.000000
seata_seata,99,100,4,0.020513
shuzheng_zheng,100,100,100,1.000000
signalapp_signal-server,100,100,19,0.104972
socketio_socket.io-client-java,58,58,58,1.000000
sofastack_sofa-boot,100,100,100,1.000000
sofastack_sofa-rpc,100,100,100,1.000000
sohutv_cachecloud,100,100,100,1.000000
spring-attic_spring-mvc-showcase,29,29,29,1.000000
spring-attic_spring-security-oauth,99,99,99,1.000000
spring-cloud_spring-cloud-gateway,100,100,14,0.075269
spring-cloud_spring-cloud-netflix,99,99,99,1.000000
spring-projects_spring-data-examples,100,100,100,1.000000
spring-projects_spring-mvc-showcase,29,29,29,1.000000
spring-projects_spring-petclinic,29,29,29,1.000000
spring-projects_spring-security-oauth,99,99,99,1.000000
springside_springside4,100,100,100,1.000000
sqshq_piggymetrics,37,37,37,1.000000
square_dagger,100,100,100,1.000000
square_javapoet,100,100,100,1.000000
square_otto,27,27,27,1.000000
ssssssss-team_spider-flow,97,97,97,1.000000
stanfordnlp_corenlp,96,96,96,1.000000
stleary_json-java,100,100,100,1.000000
strimzi_strimzi-kafka-operator,100,100,3,0.015228
swagger-api_swagger-core,100,100,100,1.000000
theonedev_onedev,100,100,0,0.000000
thingsboard_thingsboard,100,100,2,0.010101
thinkaurelius_titan,100,100,100,1.000000
tootallnate_java-websocket,100,99,40,0.251572
trinea_android-common,100,100,100,1.000000
trinodb_trino,99,100,2,0.010152
tuguangquan_mybatis,100,100,100,1.000000
ververica_flink-cdc-connectors,100,100,2,0.010101
vespa-engine_vespa,100,100,0,0.000000
vipshop_vjtools,100,100,100,1.000000
wechat-group_wxjava,100,100,2,0.010101
weibocom_motan,100,100,100,1.000000
weiye-jing_datax-web,100,100,100,1.000000
wildfirechat_im-server,84,90,19,0.122581
wildfirechat_server,84,90,19,0.122581
wxiaoqi_spring-cloud-platform,100,100,100,1.000000
xetorthio_jedis,100,99,7,0.036458
xkcoding_spring-boot-demo,100,100,100,1.000000
xuxueli_xxl-job,100,100,99,0.980198
yunaiv_onemall,100,100,3,0.015228
yunaiv_ruoyi-vue-pro,100,100,0,0.000000
yunaiv_springboot-labs,100,100,100,1.000000
yunaiv_yudao-cloud,100,100,3,0.015228
zendesk_maxwell,100,100,100,1.000000
zfile-dev_zfile,100,100,100,1.000000
zhangdaiscott_jeecg-boot,100,100,7,0.036269
zhisheng17_flink-learning,100,100,100,1.000000
zhongfucheng3y_austin,100,100,100,1.000000
zhoutaoo_springcloud,0,0,0,1.000000
zlt2000_microservices-platform,100,100,100,1.000000
zouzg_mybatis-generator-gui,99,99,99,1.000000
zuihou_lamp-cloud,100,100,100,1.000000
zxing_zxing,100,100,100,1.000000
